Name,CookingCategory,SellPrice,Sources,Plaza,PeacefulMeadow,DazzleBeach,GladeofTrust,ForestofValor,SunlitPlateau,FrostedHeights,ForgottenLands
Butter,DairyandOil,190,chezRemy,1,0,0,0,0,0,0,0
Canola,DairyandOil,109,goofyStall,0,0,0,0,1,0,0,0
Cheese,DairyandOil,180,chezRemy,1,0,0,0,0,0,0,0
Egg,DairyandOil,220,chezRemy,1,0,0,0,0,0,0,0
Milk,DairyandOil,230,chezRemy,1,0,0,0,0,0,0,0
Peanut,DairyandOil,200,chezRemy,1,0,0,0,0,0,0,0
Soya,DairyandOil,69,goofyStall,0,0,0,0,0,1,0,0
Anglerfish,Fish,1500,fishing,0,0,0,0,0,0,0,1
Bass,Fish,25,fishing,0,1,0,0,1,1,1,0
Bream,Fish,280,fishing,0,1,0,0,0,0,0,0
Carp,Fish,400,fishing,0,0,0,0,1,1,0,0
Catfish,Fish,550,fishing,0,1,0,0,0,0,0,0
Cod,Fish,35,fishing,0,0,1,1,0,0,0,1
Fugu,Fish,900,fishing,0,0,1,0,0,0,0,0
HereandThereFish,Fish,2000,fishing,1,1,1,1,1,1,1,1
Herring,Fish,65,fishing,0,0,1,1,0,0,0,0
Kingfish,Fish,450,fishing,0,0,1,0,0,0,0,0
Lancetfish,Fish,650,fishing,0,0,0,0,0,0,0,1
Perch,Fish,80,fishing,0,0,0,0,1,1,0,0
Pike,Fish,800,fishing,0,0,0,0,1,0,0,0
RainbowTrout,Fish,50,fishing,0,1,0,0,1,0,0,0
RedAlgae,Fish,150,fishing,1,1,1,1,1,1,1,1
Salmon,Fish,150,fishing,0,0,0,0,0,1,1,0
Seaweed,Fish,20,fishing,1,1,1,1,1,1,1,1
Sole,Fish,200,fishing,0,0,0,0,0,0,0,1
Swordfish,Fish,700,fishing,0,0,1,0,0,0,0,0
Tilapia,Fish,600,fishing,0,0,0,0,0,1,1,0
Tuna,Fish,95,fishing,0,0,0,1,0,0,0,1
Walleye,Fish,1100,fishing,0,0,0,0,0,1,0,0
WhiteSturgeon,Fish,1250,fishing,0,0,0,0,0,0,1,0
Apple,Fruit,25,foraging,1,0,0,0,0,0,0,1
Banana,Fruit,29,foraging,0,1,1,0,0,0,0,0
Blueberry,Fruit,29,foraging,0,0,1,0,1,0,0,0
Cherry,Fruit,42,foraging,0,0,0,0,0,1,1,0
Coconut,Fruit,42,foraging,0,0,1,0,0,0,0,0
CoffeeBean,Fruit,36,foraging,0,0,0,1,0,0,0,0
DreamlightFruit,Fruit,40,foraging,0,0,0,0,0,1,0,0
Gooseberry,Fruit,50,foraging,0,0,0,0,0,0,1,1
Lemon,Fruit,33,foraging,0,0,0,1,1,0,0,0
Raspberry,Fruit,21,foraging,1,1,0,0,0,0,0,0
Rice,Grains,61,goofyStall,0,0,0,1,0,0,0,0
Wheat,Grains,2,goofyStall,0,1,0,0,0,0,0,0
SlushIce,Ice,150,chezRemy,1,0,0,0,0,0,0,0
Crab,Seafood,600,fishing,0,0,0,0,0,0,1,0
Lobster,Seafood,950,fishing,0,0,0,1,0,0,0,0
Shrimp,Seafood,300,fishing,0,0,1,0,0,0,0,0
Squid,Seafood,500,fishing,0,0,0,1,0,0,0,1
Clam,Seafood,45,foraging,0,0,1,0,0,0,0,0
Oyster,Seafood,250,foraging,0,0,1,0,0,0,0,0
Scallop,Seafood,50,foraging,0,0,1,0,0,0,0,0
Basil,Spices,25,foraging,0,1,0,0,0,0,0,0
Garlic,Spices,60,foraging,0,0,0,0,1,0,0,0
Ginger,Spices,100,foraging,0,0,0,0,0,0,0,1
Mint,Spices,80,foraging,0,0,0,0,0,0,1,0
Oregano,Spices,20,foraging,1,0,0,0,0,0,0,0
CocoaBean,Sweets,38,foraging,0,0,0,1,0,1,0,0
Sugarcane,Sweets,19,goofyStall,0,0,1,0,0,0,0,0
Vanilla,Sweets,60,foraging,0,0,0,0,0,1,0,0
Asparagus,Vegetables,133,goofyStall,0,0,0,0,0,0,1,0
BellPepper,Vegetables,33,goofyStall,0,0,0,0,1,0,0,0
Carrot,Vegetables,44,goofyStall,0,1,0,0,0,0,0,0
ChiliPepper,Vegetables,78,goofyStall,0,0,0,0,0,1,0,0
Corn,Vegetables,16,goofyStall,0,0,1,0,0,0,0,0
Cucumber,Vegetables,159,goofyStall,0,0,0,0,0,0,1,0
Eggplant,Vegetables,308,goofyStall,0,0,0,0,0,0,1,0
Leek,Vegetables,309,goofyStall,0,0,0,0,0,0,0,1
Lettuce,Vegetables,8,goofyStall,0,1,0,0,0,0,0,0
Mushroom,Vegetables,30,foraging,0,0,0,1,0,0,0,0
Okra,Vegetables,114,goofyStall,0,0,0,1,0,0,0,0
Onion,Vegetables,170,goofyStall,0,0,0,0,1,0,0,0
Potato,Vegetables,126,goofyStall,0,0,0,0,0,0,0,1
Pumpkin,Vegetables,664,goofyStall,0,0,0,0,0,0,0,1
Spinach,Vegetables,41,goofyStall,0,0,0,1,0,0,0,0
Tomato,Vegetables,22,goofyStall,0,0,1,0,0,0,0,0
Zucchini,Vegetables,52,goofyStall,0,0,0,0,0,1,0,0
